new_clean_name,old_sf_name,old_lg_name,osa_govt_lvl,lg_govt_lvl,new_entity_for_osa,new_entity_for_lg,name_changed_in_salesforce,name_cnt,sf_id,lg_id,primary_email,primary_first_name,primary_last_name,primary_title,primary_phone
20-20 Eyecare of Utah,20-20 EYECARE OF UTAH,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkIQAV,,,,,,
4 the Youth,4 THE YOUTH INC.,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkJQAV,,,,,,
72nd Street Clinic,72ND STREET CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkKQAV,,,,,,
90 and 9,90&9,,Non Profits,,FALSE,TRUE,TRUE,1,0011K00002YfOalQAF,,,,,,
A Gentle Touch Chiropractic and Massage,A GENTLE TOUCH CHIROPRACTIC & MASSAGE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkLQAV,,,,,,
AAA Fair Credit Foundation,AAA Fair Credit Foundation,AAA Fair Credit Foundation,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1YdAAK,1,ellen@faircredit.org,Ellen,Billie,,8016561608
AF CNMS,AF CNMS,,Health Provider,,FALSE,FALSE,FALSE,1,0011K00002EhWkgQAF,,,,,,
ARUP Laboratories,"ARUP Laboratories, Inc.",,Educational Foundation or Component Unit,,FALSE,TRUE,TRUE,1,0014100000rD4jZAAS,,,,,,
Aaron Robinson DO,AARON ROBINSON D.O.,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkMQAV,,,,,,
Abby N Crume DO PC,ABBY N CRUME DO PC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkNQAV,,,,,,
Abc Pediatrics,ABC PEDIATRICS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkOQAV,,,,,,
Ability 1st Utah,Ability 1st Utah,Ability 1st Utah,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1OMAA0,2,sandra@ability1stutah.org,Sandra,Curcio,Executive Director,8013735044
Absolute Vision,ABSOLUTE VISION,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkPQAV,,,,,,
Academy for Math Engineering and Science,"Academy for Math, Engineering and Science","Academy for Math, Engineering & Science",School District or Charter School,Charter School,FALSE,FALSE,TRUE,1,0014100000rD1jSAAS,3,bwilson@ames-slc.org,Brett,T. Wilson,,801-278-9460
Access Healthcare,ACCESS HEALTHCARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkQQAV,,,,,,
Ackerson Eyecare,ACKERSON EYECARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkRQAV,,,,,,
Active Re-Entry,"Active Re-Entry, Inc.",Active Re-Entry,Non Profit - URS Contributing,Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100000rD1ONAA0,4,rachelle@arecil.org,Rachelle,Blanc,Fiscal Officer,4356374950
Ad Clinical,AD CLINICAL,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkSQAV,,,,,,
Adams and Petersen CPAs,"Adams & Petersen, CPAs LLC",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100001A0kvsAAB,,,,,,
Addiction Resource Center for Healing,ADDICTION RESOURCE CENTER FOR HEALING,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkTQAV,,,,,,
Administrative Office of the Courts,Administrative Office of the Courts,,State of Utah (agencies/depts/comp units/ etc.),,FALSE,TRUE,FALSE,1,0014100000rD4hSAAS,,,,,,
Adopt a Native Elder Program,Adopt A Native Elder Program,,Non Profits,,FALSE,TRUE,TRUE,1,0011K00002YghfHQAR,,,,,,
Adult Care Clinic,ADULT CARE CLINIC INC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkUQAV,,,,,,
Adult Inpatient Program Uni,ADULT INPATIENT PROGRAM UNI,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkVQAV,,,,,,
Advanced Eye Care,ADVANCED EYE CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkWQAV,,,,,,
Advanced Family Eyecare,ADVANCED FAMILY EYECARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkXQAV,,,,,,
Advanced Family Medicine,ADVANCED FAMILY MEDICINE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkYQAV,,,,,,
Advanced Pain Management,ADVANCED PAIN MANAGEMENT,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkZQAV,,,,,,
Advanced Pulmonary Sleep Disorders and Internal Medicine,"ADVANCED PULMONARY, SLEEP DISORDERS & INTERNAL MEDICINE",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkaQAF,,,,,,
Advanced Spinal Care,ADVANCED SPINAL CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkbQAF,,,,,,
Advanced Spine Pain Specialists,ADVANCED SPINE PAIN SPECIALISTS,,Health Provider,,FALSE,FALSE,TRUE,2,0011K00002EhWkcQAF,,,,,,
Advanced Spine Pain Specialists,ADVANCED SPINE PAIN SPECIALISTS,,Health Provider,,FALSE,FALSE,TRUE,2,0011K00002EhWkdQAF,,,,,,
Advantage Arts Academy,Advantage Arts Academy,Advantage Arts Academy,School District or Charter School,Charter School,FALSE,FALSE,FALSE,1,0014100000rD1pIAAS,5,ksimonsen@advantagearts.org,Kelly,Simonsen,Director,8018788622
Advantage Medical Center,ADVANTAGE MEDICAL CENTER,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkeQAF,,,,,,
Aerospace Heritage Foundation of Utah,Aerospace Heritage Foundation of Utah,Aerospace Heritage Foundation Of Utah,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0011K00002YfOdGQAV,6,robbalexander@aerospaceutah.org,Robb,S. Alexander,EXECUTIVE DIRECTOR,8018255936
Aesthetica Plastic Surgery,AESTHETICA PLASTIC SURGERY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkfQAF,,,,,,
After Hours Medical - West Valley Clinic,AFTER HOURS MEDICAL- WEST VALLEY CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkiQAF,,,,,,
After Hours Medical Company,AFTER HOURS MEDICAL COMPANY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkhQAF,,,,,,
After Hours Medical-American Fork Clinic,AFTER HOURS MEDICAL-AMERICAN FORK CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkjQAF,,,,,,
Aix Professional LC,"AIX Professional, L.C.",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0xPAAS,,,,,,
Alan Brooks Crossroads,ALAN BROOKS CROSSROADS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkkQAF,,,,,,
Alan T Rappleye MD,"ALAN T. RAPPLEYE, M.D.",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWklQAF,,,,,,
Albretsen and Rosen CPAs,"Albretsen & Rosen, CPAs",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0xQAAS,,,,,,
Alf Engen Ski Museum,Alf Engen Ski Museum,Alf Engen Ski Museum Foundation,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100001g9mIbAAI,7,cnelson@uolf.org,Connie,Nelson,Executive Director,4356584240
Alianza Academy,Alianza Academy,,School District or Charter School,,FALSE,TRUE,FALSE,1,0014100000rD1hjAAC,,,,,,
Alicia Jones MD,"ALICIA JONES, MD",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkmQAF,,,,,,
Allen O Naylor MD PC,ALLEN O NAYLOR MD PC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWknQAF,,,,,,
Allen R Groebs MD PC,ALLEN R GROEBS MD PC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkoQAF,,,,,,
Allen and Alice Stokes Nature Center,Allen and Alice Stokes Nature Center,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002YfOfCQAV,,,,,,
Allergy Associates of Utah,ALLERGY ASSOCIATES OF UTAH,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkpQAF,,,,,,
Alliance Behavioral Psychiatry,ALLIANCE BEHAVIORAL PSYCHIATRY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkqQAF,,,,,,
Alliance Community Services,Alliance Community Services,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002MUpFkQAL,,,,,,
Alliance House,"Alliance House, Inc.",Alliance House,Non Profits,Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100000rD1OOAA0,9,business@alliancehouse.org,Rachel,Wilkerson,,801-486-5012
Alliance for Children,Alliance for Children,Alliance for Children,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100001awjWJAAY,8,afcbart@gmail.com,Paula,Barton,,801-313-1090
Allies with Families,Allies with Families,Allies With Families,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1vaAAC,10,loric@allieswithfamilies.org,Lori,Cerar,,801-433-2595
Allred Chiropractic,ALLRED CHIROPRACTIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkrQAF,,,,,,
Allred Jackson CPAs,"Allred Jackson, CPAs",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100001A0kyrAAB,,,,,,
Alma Parker MD,ALMA PARKER MD,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWksQAF,,,,,,
Almitas Foundation,Almitas Foundation,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002f3c3UQAQ,,,,,,
Aloha Behavioral Consultants,"ALOHA BEHAVIORAL CONSULTANTS, INC.",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWktQAF,,,,,,
Alpenhof Special Service District,Alpenhof Special Service District,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0014100000wO7DyAAK,,,,,,
Alpharad,ALPHARAD INC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkuQAF,,,,,,
Alpine Center Medical Services,ALPINE CENTER MEDICAL SERVICES,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkvQAF,,,,,,
Alpine City,Alpine City,Alpine City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zJAAS,11,criley@alpinecity.org,Carolyn,Riley,Treasurer,8017566347
Alpine Clinic,ALPINE CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkwQAF,,,,,,
Alpine Community Theatre,Alpine Community Theatre (ACT),,Non Profits,,FALSE,TRUE,TRUE,1,0011K00002YgyN7QAJ,,,,,,
Alpine Conservation District,Alpine Conservation District,Alpine Conservation District,Conservation District,Conservation District,FALSE,FALSE,FALSE,1,0014100000rD120AAC,12,drgunnell@utah.gov,Daniel,Gunnell,,4357490853
Alpine Cove Water Special Service District,Alpine Cove Water Special Service District,ALPINE COVE WATER SPECIAL SERVICE DISTRICT,Local and Special Service District,Special Service District,FALSE,FALSE,FALSE,1,0014100000rD1B1AAK,13,,,,,
Alpine Dermatology,ALPINE DERMATOLOGY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkxQAF,,,,,,
Alpine Family Medicine,ALPINE FAMILY MEDICINE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkyQAF,,,,,,
Alpine Internal Medicine,ALPINE INTERNAL MEDICINE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWkzQAF,,,,,,
Alpine Management and Consulting Clinic,ALPINE MANAGEMENT AND CONSULTING CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl0QAF,,,,,,
Alpine Medical Group,ALPINE MEDICAL GROUP,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl1QAF,,,,,,
Alpine Pediatrics,ALPINE PEDIATRICS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl2QAF,,,,,,
Alpine Plastic and Reconstructive Surgery,ALPINE PLASTIC AND RECONSTRUCTIVE SURGERY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl3QAF,,,,,,
Alpine Recovery Lodge,ALPINE RECOVERY LODGE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl4QAF,,,,,,
Alpine School District,Alpine School District,Alpine School District,School District or Charter School,School District,FALSE,FALSE,FALSE,1,0014100000rD1hkAAC,14,rwsmith@alpinedistrict.org,Rob,Smith,Business Administrator,8016108417
Alpine Spine Sports and Rehabilitation,ALPINE SPINE SPORTS AND REHABILITATION,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl5QAF,,,,,,
Alpine Surgical Arts,ALPINE SURGICAL ARTS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl6QAF,,,,,,
